analyte,intercept (cps),intercept_sd (cps),slope (cps/ppb),slope_sd (cps/ppb),r2
[94Zr]+,3.00139799397284,4.10294896962424,5524.13115965659,48.0613998009625,0.976435580790657
[96Mo]+,16.5172207518108,4.95449987652737,5296.20717765703,48.725533642848,0.994839246556218
[98Mo]+,6.10804154789125,4.14689910041214,5665.96570029264,55.2937748606817,0.993602545344261
[102Ru]+,14.3111455628091,3.75019786551395,7708.40538459715,63.9591818627493,0.99965495414143
[103Rh]+,16.59617962617,3.24623832969968,23571.9286774452,163.540325162342,0.999341458925259
[106Pd]+,12.2139041770699,4.12876267273635,5415.90667059033,50.2221890058518,0.99388481776857
[107Ag]+,4.51602272437104,2.71484572382979,3147.81085183509,37.5887920653364,0.990932916751634
[108Pd]+,10.9621692257357,3.50153309577335,4986.54972348964,50.4054161636644,0.993563514828616
[109Ag]+,2.99748181211829,2.63318924991027,3067.01778629769,36.3719733648005,0.992594638395222
[112Cd]+,15.8134203041389,3.0436074809551,5325.6036871426,46.996888238811,0.999934117325216
[114Cd]+,14.7131512542112,3.03253366122712,6430.22179698223,53.4853521630573,0.99991691383359
[118Sn]+,14.1865294006107,4.12318770633865,6097.63987269365,52.9146825736591,0.998180573620996
[120Sn]+,14.7037057372382,4.54316325041583,8234.26645883792,70.4251293965974,0.997597938870062
[121Sb]+,14.8708962516402,3.21672219134889,7141.03447713894,57.5388143285939,0.999743826689479
[123Sb]+,13.8912170220397,2.76350830204725,5689.14809109418,48.6420386118364,0.999830695608935
[128Te]+,28.845724174587,4.36283465185105,2676.40234881279,27.4277581378196,0.998849917234691
[130Te]+,53.3462527441981,5.23475556552053,3011.0897463974,30.1762112618827,0.998865823504233
[133Cs]+,20.5068248698637,4.09974649363658,26261.8111743512,181.116905351371,0.999213459807498
[137Ba]+,63.5911386243374,5.87341620142852,3221.92631069511,33.5248794283813,0.995849847428993
[138Ba]+,394.991228952404,21.3289424671309,21074.9255069791,154.852844731648,0.988996853996288
[139La]+,6.79016731826021,2.75516465105647,28849.7031357531,194.245362552548,0.99599798206199
[140Ce]+,4.35293010185554,3.2427537128249,26798.536060944,187.748154199053,0.994822027328088
[141Pr]+,6.77589273111209,2.048663156976,32584.7078516522,219.408326991623,0.993205771525688
[142Nd]+,3.04569110141961,2.52657712263566,12204.075528615,90.3971283643012,0.995731751783105
[142Ce]+,3.04569110141961,2.52657712263566,12204.075528615,90.3971283643012,0.995731751783105
[144Nd]+,2.29436213496941,2.43730606315983,8781.02279447333,71.2384720784982,0.995979238788918
[151Eu]+,1.46907630936344,2.59214302679841,16101.8526124029,118.844761249243,0.99292553148143
[152Sm]+,3.36993259754871,2.25244429732091,8979.73452282539,71.5122363904968,0.995291592475647
[153Eu]+,1.77226565080775,2.74019404873674,17836.7926770612,131.102519647556,0.992887368593357
[154Sm]+,3.86887373451828,2.37030413724994,8415.21317291734,67.5137854984528,0.996454827144616
[156Gd]+,4.65341104123261,2.47690403423023,7215.45497534115,60.2505090116348,0.997998567976674
[158Gd]+,4.52364238995041,2.45464211048977,8387.53754780933,69.4014011401693,0.997909836912489
[159Tb]+,5.03505300396294,3.25984780730009,33054.1691122537,226.970491939732,0.992615017874253
[162Dy]+,1.15174416765071,2.15262619534874,8423.07330732438,71.0360221748487,0.995640473224357
[164Dy]+,1.92038718838277,2.1694163987426,9769.94911758648,78.9289256233255,0.995622967350794
[165Ho]+,4.23745957301075,2.63019958032268,32443.4892792528,225.915213286571,0.994448598947044
[166Er]+,1.10588347788179,2.54002985325666,10754.7936276269,88.9711983291577,0.995805732894427
[168Er]+,2.25905391143444,2.2935228928345,8769.08684735313,72.4167639354314,0.996654749061696
[169Tm]+,3.3410377701328,2.55303642271614,32724.3307584587,226.059964969483,0.993671702669835
[174Yb]+,3.53129567357861,2.18918713373171,10832.4725768209,86.21172451939,0.99658039092109
[175Lu]+,3.04122725108758,2.897788476444,30741.5468160842,224.440945197952,0.993276520326226
[180Hf]+,-5.66109087475056,2.13958082227848,9203.71160320489,76.3644053090367,0.930280452730457
[181Ta]+,28.3514648103767,6.00454017818285,15600.6447584218,280.736743786988,0.974444820664914
[185Re]+,7.75781023187472,1.8013621999991,211.366606624432,5.23046643940616,0.999169711382315
[190Os]+,2.46844703267827,2.56559804428284,4178.60720169104,47.0064005014228,0.990658280274131
[192Os]+,2.67255459447456,2.82428991366975,6661.74862263929,68.9582771811525,0.991971412993174
[193Ir]+,7.98783905022464,2.67511468066978,13974.3295094132,109.096662955353,0.998461536145788
[194Pt]+,4.82675786584019,2.61964015485616,5739.93407281135,52.4079262444673,0.99818382560658
[195Pt]+,6.29642630026908,2.21367020081746,5799.81757814769,70.0871233510689,0.997562482774674
[197Au]+,59.9649912123832,4.82252623631928,1306.40983426297,53.6096790657661,0.897206005978051
[200Hg]+,10.5375596891031,3.07343977807886,1768.87068296495,22.240909610749,0.988632079181837
[202Hg]+,8.75356276228771,3.56861151773262,2244.79686477061,25.0812035717187,0.989237151204569
[206Pb]+,15.0135193990629,2.92297506783095,6595.35091470539,56.0229897052,0.994731435368216
[208Pb]+,15.5379951778302,2.81972851458218,14237.8007037359,110.526153849035,0.994034605831038
[209Bi]+,-18.2402751415191,2.26334395370029,13785.7962984238,132.093443452017,0.72360929876461
[238U]+,1.66882991814104,2.24067704921416,21664.233898277,167.319340733184,0.993365638445606
